version
202
timestamp,L_value1,L_value2,L_value3,L_value4,R_value1,R_value2,R_value3,R_value4,COP_Left,COP_Right,COP_Front,COP_Back,COP_Left_Front,COP_Left_Back,COP_Right_Front,COP_Right_Back,L_ACC_X,L_ACC_Y,L_ACC_Z,R_ACC_X,R_ACC_Y,R_ACC_Z,L_value1_raw,L_value2_raw,L_value3_raw,L_value4_raw,R_value1_raw,R_value2_raw,R_value3_raw,R_value4_raw
0.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,11,0,0,0,1,0,0,2,2,2
36.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,11,0,0,0,1,0,0,2,2,2
65.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,8,0,0,0,1,0,0,0,0,0
88.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,10,0,0,0,1,0,0,0,0,1
110.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,10,0,0,0,1,0,0,0,0,1
140.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,10,0,0,0,0,0,0,0,0,1
170.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,10,0,0,0,0,0,0,0,0,1
200.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,10,0,0,0,0,0,0,0,0,1
230.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,9,0,0,0,0,0,0,0,1,0
260.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,9,0,1,0,0,0,0,0,1,0
290.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,8,0,0,0,0,1,0,0,0,1
320.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,10,0,0,0,0,0,2,0,2,0
350.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,2,8,0,0,0,0,0,0,0,2,3
380.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,3,11,0,0,0,0,0,1,0,1,1
410.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,9,0,0,0,0,0,0,2,0,0
440.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,10,0,0,0,0,0,0,1,0,0
470.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,8,0,0,0,0,0,0,0,0,0
500.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,7,0,0,0,0,0,0,2,2,0
530.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,7,0,0,0,0,0,0,2,2,0
560.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,6,0,0,0,0,0,1,0,0,0
589.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,6,0,0,0,0,0,1,0,0,0
620.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,2,9,0,0,0,0,0,1,1,0,0
650.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,11,0,0,0,0,0,0,0,0,0
680.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,1,9,0,0,0,0,0,1,0,1,0
710.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,9,0,0,0,0,0,1,2,1,2
739.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,5,0,0,0,0,0,0,1,0,2
770.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,5,0,0,0,0,0,0,1,0,2
800.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,26,0,0,5,0,0,0,0,0,0,1,0,2
830.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,26,0,0,21,0,0,0,0,0,1,0,0,0
860.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,2,0,0,15,0,0,1,0,0,0,0,0,0
