version
202
timestamp,L_value1,L_value2,L_value3,L_value4,R_value1,R_value2,R_value3,R_value4,COP_Left,COP_Right,COP_Front,COP_Back,COP_Left_Front,COP_Left_Back,COP_Right_Front,COP_Right_Back,L_ACC_X,L_ACC_Y,L_ACC_Z,R_ACC_X,R_ACC_Y,R_ACC_Z,L_value1_raw,L_value2_raw,L_value3_raw,L_value4_raw,R_value1_raw,R_value2_raw,R_value3_raw,R_value4_raw
1426.0,0,0,0,0,0,0,0,80,0,100,0,100,50,50,0,100,0,0,0,33,162,0,0,0,0,1,0,0,0,531
1456.0,0,0,0,0,0,0,0,80,0,100,0,100,50,50,0,100,0,0,0,33,162,0,0,0,0,1,0,0,0,531
1485.0,0,0,0,0,0,0,0,14,0,100,0,100,50,50,0,100,0,0,0,0,64,0,0,0,0,1,0,0,0,197
1515.0,0,0,0,0,0,0,0,4,33,67,0,100,50,50,0,100,0,0,0,3,133,0,0,0,0,1,0,0,0,142
1546.0,0,0,0,0,0,0,0,4,33,67,0,100,50,50,0,100,0,0,0,3,133,0,0,0,0,1,0,0,0,142
1575.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,129,0,0,0,0,1,0,0,0,48
1606.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,129,0,0,0,0,0,0,0,0,48
1636.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,95,0,0,0,0,0,0,0,0,26
1665.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,16,0,0,73,0,2,0,0,0,0,0,0,8
1696.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,76,0,0,0,0,8,0,0,0,3
1726.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,0,0,0,40,0,0,0,0,8,0,0,0,0
1755.0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,6,0,0,55,0,1,0,0,47,0,0,0,0
1785.0,0,0,0,8,0,0,0,0,66,34,0,100,0,100,50,50,23,0,0,0,29,0,0,0,0,162,0,0,0,0
1815.0,0,0,0,8,0,0,0,0,66,34,0,100,0,100,50,50,23,0,0,0,32,0,0,0,0,162,0,0,0,0
1846.0,0,0,0,8,0,0,0,0,66,34,0,100,0,100,50,50,23,0,0,0,0,0,0,0,0,162,0,0,0,0
1876.0,0,0,0,86,0,0,0,0,100,0,0,100,0,100,50,50,0,36,0,0,0,0,0,1,0,550,0,0,0,0
1905.0,0,0,0,83,0,0,0,0,100,0,0,100,0,100,50,50,0,71,0,0,0,0,1,0,0,532,0,0,0,0
1936.0,0,0,0,83,0,0,0,0,100,0,0,100,0,100,50,50,0,71,0,0,20,0,1,0,0,532,0,0,0,0
1966.0,0,0,0,91,0,0,0,0,100,0,0,100,0,100,50,50,0,0,0,0,20,0,0,1,0,571,0,0,0,0
1996.0,0,0,0,92,0,0,0,0,100,0,0,100,0,100,50,50,0,0,0,0,20,0,0,0,0,578,0,0,0,0
2026.0,0,0,0,93,0,0,0,0,100,0,0,100,0,100,50,50,0,0,0,0,20,0,0,0,0,582,0,0,0,0
2056.0,0,0,0,95,0,0,0,0,100,0,0,100,0,100,50,50,0,18,0,0,0,0,0,0,0,592,0,0,0,0
2086.0,0,0,0,95,0,0,0,0,100,0,0,100,0,100,50,50,0,21,0,0,0,0,0,0,0,593,0,0,0,0
2115.0,0,0,0,95,0,0,0,0,100,0,0,100,0,100,50,50,0,21,0,0,41,0,0,0,0,593,0,0,0,0
2145.0,0,0,0,95,0,0,0,0,100,0,0,100,0,100,50,50,0,21,0,0,39,0,0,0,0,593,1,0,0,0
2176.0,0,0,0,73,0,0,0,0,100,0,0,100,0,100,50,50,0,0,0,0,21,0,0,0,0,483,0,0,0,0
2206.0,0,0,0,71,0,0,0,0,100,0,0,100,0,100,50,50,0,0,0,0,22,0,0,0,0,476,0,0,0,0
