version
10
timestamp,L_value1,L_value2,L_value3,L_value4,R_value1,R_value2,R_value3,R_value4,COP_Left,COP_Right,COP_Front,COP_Back,COP_Left_Front,COP_Left_Back,COP_Right_Front,COP_Right_Back,L_ACC_X,L_ACC_Y,L_ACC_Z,R_ACC_X,R_ACC_Y,R_ACC_Z,L_value1_raw,L_value2_raw,L_value3_raw,L_value4_raw,R_value1_raw,R_value2_raw,R_value3_raw,R_value4_raw
1286,9,0,0,0,24,6,56,45,7,93,63,37,100,0,60,40,0,0,0,0,0,0,182.0,17.0,111.0,0.0,276.0,161.0,476.0,318.0
1319,4,0,0,0,28,7,59,42,3,97,65,35,100,0,63,37,0,0,0,0,0,0,150.0,9.0,98.0,0.0,300.0,166.0,490.0,304.0
1352,0,0,0,0,32,8,59,40,0,100,66,34,50,50,66,34,0,0,0,0,0,0,121.0,5.0,90.0,0.0,322.0,173.0,493.0,290.0
1385,0,0,0,0,34,9,60,38,0,100,68,32,50,50,67,33,0,0,0,0,0,0,108.0,4.0,86.0,0.0,335.0,179.0,499.0,280.0
1418,0,0,0,0,36,9,61,37,0,100,69,31,50,50,68,32,0,0,0,0,0,0,99.0,5.0,79.0,0.0,346.0,181.0,506.0,278.0
1451,0,0,0,0,36,9,61,37,0,100,69,31,50,50,68,32,0,0,0,0,0,0,91.0,4.0,76.0,0.0,347.0,180.0,506.0,278.0
1484,0,0,0,0,36,9,62,39,0,100,68,32,50,50,67,33,0,0,0,0,0,0,85.0,0.0,74.0,0.0,349.0,182.0,509.0,288.0
1517,0,0,0,0,36,9,61,41,0,100,67,33,50,50,67,33,0,0,0,0,0,0,77.0,1.0,69.0,0.0,349.0,180.0,507.0,295.0
1550,0,0,0,0,36,8,61,43,0,100,66,34,50,50,65,35,0,0,0,0,0,0,71.0,0.0,64.0,0.0,347.0,174.0,506.0,306.0
1583,0,0,0,0,35,8,61,43,0,100,66,34,50,50,65,35,0,0,0,0,0,0,68.0,0.0,61.0,0.0,342.0,175.0,506.0,308.0
1616,0,0,0,0,34,8,61,45,0,100,64,36,50,50,64,36,0,0,0,0,0,0,64.0,0.0,59.0,0.0,334.0,172.0,506.0,318.0
1649,0,0,0,0,32,7,61,50,0,100,62,38,50,50,61,39,0,0,0,0,0,0,63.0,0.0,57.0,0.0,325.0,166.0,503.0,340.0
1682,0,0,0,0,30,6,60,53,0,100,59,41,50,50,59,41,0,0,0,0,0,0,60.0,0.0,53.0,0.0,313.0,162.0,500.0,358.0
1715,0,0,0,0,28,5,59,59,0,100,56,44,50,50,55,45,0,0,0,0,0,0,56.0,0.0,52.0,0.0,301.0,157.0,491.0,386.0
1748,0,0,0,0,26,5,57,64,0,100,52,48,50,50,52,48,0,0,0,0,0,0,55.0,0.0,51.0,0.0,285.0,152.0,480.0,413.0
1781,0,0,0,0,24,3,55,69,0,100,49,51,50,50,49,51,0,0,0,0,0,0,57.0,0.0,54.0,0.0,270.0,140.0,468.0,437.0
1814,0,0,0,0,21,1,53,72,0,100,46,54,50,50,46,54,0,0,0,0,0,0,68.0,0.0,63.0,0.0,252.0,128.0,453.0,451.0
1847,0,0,0,0,18,0,51,75,0,100,43,57,50,50,43,57,0,0,0,0,0,0,80.0,5.0,96.0,0.0,237.0,120.0,442.0,466.0
1880,0,0,2,0,15,0,48,74,1,99,42,58,100,0,41,59,0,0,0,0,0,0,96.0,11.0,133.0,0.0,219.0,108.0,424.0,462.0
1913,0,0,8,0,13,0,45,72,5,95,43,57,100,0,40,60,0,0,0,0,0,0,108.0,8.0,171.0,0.0,204.0,101.0,406.0,451.0
1946,0,0,11,0,11,0,42,68,8,92,44,56,100,0,39,61,0,0,0,0,0,0,119.0,9.0,193.0,0.0,192.0,96.0,383.0,434.0
1979,0,0,15,0,10,0,37,62,12,88,45,55,100,0,38,62,0,0,0,0,0,0,123.0,9.0,214.0,0.0,183.0,89.0,352.0,400.0
2012,0,0,18,0,8,0,33,54,16,84,48,52,100,0,39,61,0,0,0,0,0,0,124.0,8.0,236.0,0.0,173.0,86.0,330.0,360.0
2045,0,0,21,0,6,0,29,41,22,78,53,47,100,0,41,59,0,0,0,0,0,0,124.0,6.0,257.0,54.0,163.0,85.0,303.0,298.0
2078,0,0,25,25,4,0,25,22,49,51,49,51,45,55,53,47,0,0,0,0,0,0,126.0,3.0,277.0,219.0,151.0,77.0,277.0,200.0
2111,1,0,30,53,3,0,19,0,79,21,45,55,32,68,100,0,0,0,0,0,0,0,129.0,6.0,309.0,359.0,139.0,68.0,242.0,78.0
2144,2,0,36,69,0,0,11,0,90,10,37,63,31,69,100,0,0,0,0,0,0,0,135.0,4.0,351.0,439.0,123.0,57.0,191.0,44.0
2177,3,0,42,80,0,0,3,0,97,3,34,66,32,68,100,0,0,0,0,0,0,0,142.0,2.0,388.0,490.0,100.0,42.0,142.0,44.0
2210,4,0,48,87,0,0,0,0,100,0,33,67,33,67,50,50,0,0,0,0,0,0,151.0,1.0,422.0,527.0,79.0,29.0,93.0,33.0
2243,6,0,52,91,0,0,0,0,100,0,35,65,35,65,50,50,0,0,0,0,0,0,161.0,0.0,450.0,546.0,57.0,14.0,62.0,27.0
2276,8,0,56,92,0,0,0,0,100,0,36,64,36,64,50,50,0,0,0,0,0,0,173.0,0.0,472.0,550.0,39.0,1.0,43.0,15.0
2309,9,0,58,92,0,0,0,0,100,0,38,62,38,62,50,50,0,0,0,0,0,0,182.0,0.0,485.0,552.0,26.0,0.0,24.0,5.0
2342,10,0,59,91,0,0,0,0,100,0,38,62,38,62,50,50,0,0,0,0,0,0,188.0,0.0,493.0,549.0,17.0,0.0,12.0,0.0
2375,11,0,60,91,0,0,0,0,100,0,39,61,39,61,50,50,0,0,0,0,0,0,191.0,0.0,496.0,548.0,9.0,0.0,5.0,0.0
2408,11,0,60,91,0,0,0,0,100,0,39,61,39,61,50,50,0,0,0,0,0,0,192.0,0.0,497.0,545.0,4.0,0.0,0.0,0.0
2441,11,0,60,91,0,0,0,0,100,0,39,61,39,61,50,50,0,0,0,0,0,0,190.0,0.0,497.0,545.0,1.0,0.0,0.0,0.0
2474,10,0,60,91,0,0,0,0,100,0,38,62,38,62,50,50,0,0,0,0,0,0,185.0,0.0,496.0,549.0,6.0,0.0,0.0,0.0
2507,9,0,60,93,0,0,0,0,100,0,38,62,38,62,50,50,0,0,0,0,0,0,182.0,0.0,495.0,557.0,0.0,0.0,0.0,0.0
2540,8,0,59,93,0,0,0,0,100,0,37,63,37,63,50,50,0,0,0,0,0,0,174.0,0.0,494.0,558.0,0.0,0.0,0.0,0.0
2573,7,0,59,94,0,0,0,0,100,0,37,63,37,63,50,50,0,0,0,0,0,0,169.0,0.0,494.0,562.0,0.0,0.0,0.0,0.0
2606,7,0,60,94,0,0,0,0,100,0,37,63,37,63,50,50,0,0,0,0,0,0,166.0,0.0,495.0,561.0,0.0,0.0,0.0,0.0
2639,7,0,59,94,0,0,0,0,100,0,37,63,37,63,50,50,0,0,0,0,0,0,164.0,0.0,494.0,562.0,0.0,0.0,0.0,0.0
2672,6,0,60,94,0,0,0,0,100,0,36,64,36,64,50,50,0,0,0,0,0,0,158.0,0.0,496.0,560.0,0.0,0.0,0.0,0.0
2705,5,0,60,93,0,0,0,0,100,0,36,64,36,64,50,50,0,0,0,0,0,0,156.0,0.0,496.0,558.0,0.0,0.0,0.0,0.0
2738,5,0,60,93,0,0,0,0,100,0,36,64,36,64,50,50,0,0,0,0,0,0,154.0,0.0,496.0,557.0,0.0,0.0,0.0,0.0
2771,5,0,59,93,0,0,0,0,100,0,36,64,36,64,50,50,0,0,0,0,0,0,156.0,0.0,494.0,557.0,0.0,0.0,0.0,0.0
2804,5,0,59,93,0,0,0,0,100,0,36,64,36,64,50,50,0,0,0,0,0,0,152.0,0.0,494.0,556.0,0.0,0.0,0.0,0.0
2837,4,0,59,92,0,0,0,0,100,0,36,64,36,64,50,50,0,0,0,0,0,0,151.0,0.0,492.0,554.0,0.0,0.0,0.0,0.0
2870,4,0,58,91,0,0,0,0,100,0,36,64,36,64,50,50,0,0,0,0,0,0,147.0,0.0,487.0,545.0,0.0,0.0,0.0,0.0
2903,3,0,57,88,0,0,0,0,100,0,36,64,36,64,50,50,0,0,0,0,0,0,144.0,0.0,478.0,530.0,9.0,0.0,0.0,0.0
2936,3,0,55,82,0,0,0,0,100,0,37,63,37,63,50,50,0,0,0,0,0,0,141.0,0.0,464.0,502.0,20.0,0.0,0.0,0.0
2969,2,0,52,75,0,0,0,0,100,0,37,63,37,63,50,50,0,0,0,0,0,0,137.0,0.0,448.0,467.0,39.0,0.0,22.0,7.0
3002,2,0,49,65,0,0,0,0,100,0,39,61,39,61,50,50,0,0,0,0,0,0,134.0,0.0,427.0,418.0,55.0,0.0,51.0,47.0
3035,1,0,45,49,0,0,0,9,91,9,39,61,43,57,0,100,0,0,0,0,0,0,128.0,0.0,404.0,339.0,72.0,13.0,87.0,136.0
3068,0,0,40,24,0,0,0,32,66,34,37,63,58,42,0,100,0,0,0,0,0,0,121.0,0.0,373.0,210.0,95.0,31.0,122.0,254.0
3101,0,0,33,0,0,0,7,55,34,66,38,62,100,0,10,90,0,0,0,0,0,0,110.0,0.0,331.0,59.0,115.0,50.0,169.0,369.0
3134,0,0,25,0,2,0,15,68,22,78,34,66,100,0,18,82,0,0,0,0,0,0,98.0,0.0,280.0,87.0,136.0,67.0,219.0,433.0
